wk,home_score,away_score,home_expected_goals,away_expected_goals,away_id,away_shots,away_shots_on_target,away_touches,away_pass_pct,away_assists,home_id,home_shots,home_shots_on_target,home_touches,home_pass_pct,home_assists,home_team,away_team
21,2,1,0.9,0.9,bc357bf7,15,3,645,79.2,0,32f3ee20,12,5,714,81.0,1,M'gladbach,Köln
26,1,1,2.1,0.3,a486e511,6,1,500,72.4,1,acbb6a5b,22,8,839,84.6,1,RB Leipzig,Freiburg
26,0,3,2.6,1.5,2818f8bc,13,6,595,80.5,2,033ea6b8,18,2,620,79.9,0,Hoffenheim,Hertha BSC
26,4,0,1.7,0.6,c539e393,10,3,570,80.4,0,add600ae,11,4,761,85.2,4,Dortmund,Schalke 04
26,1,2,1.1,1.5,4eaa11d7,16,5,659,78.8,2,0cdc4311,8,3,491,72.2,0,Augsburg,Wolfsburg
26,0,0,0.8,0.7,d9f93f02,7,1,609,82.4,0,b1278397,10,1,665,83.5,0,Düsseldorf,Paderborn 07
26,1,3,1.1,3.4,32f3ee20,14,6,625,79.4,2,f0ac8ee6,12,4,650,78.5,1,Eint Frankfurt,M'gladbach
26,2,2,2.4,2.1,a224b06a,12,5,586,78.2,2,bc357bf7,15,5,551,74.9,1,Köln,Mainz 05
26,0,2,0.5,1.5,054efa67,12,2,831,82.8,1,7a41008f,9,2,499,65.2,0,Union Berlin,Bayern Munich
26,1,4,1.4,1.7,c7a9f859,13,6,880,85.5,4,62add3bf,11,1,580,79.7,1,Werder Bremen,Leverkusen
27,4,0,1.7,0.3,7a41008f,7,0,485,75.6,0,2818f8bc,14,7,598,83.6,3,Hertha BSC,Union Berlin
27,0,2,0.5,0.9,add600ae,6,2,819,86.1,2,4eaa11d7,7,1,553,78.8,0,Wolfsburg,Dortmund
27,1,1,0.6,1.6,033ea6b8,18,5,789,86.5,1,d9f93f02,12,2,546,79.3,0,Paderborn 07,Hoffenheim
27,1,3,1.8,2.9,c7a9f859,13,6,692,82.0,2,32f3ee20,17,6,581,77.7,1,M'gladbach,Leverkusen
27,0,1,0.8,0.7,62add3bf,10,2,516,74.9,1,a486e511,17,7,774,83.1,0,Freiburg,Werder Bremen
27,5,2,2.7,1.1,f0ac8ee6,12,4,507,69.1,2,054efa67,23,10,856,84.5,3,Bayern Munich,Eint Frankfurt
27,0,3,0.7,1.3,0cdc4311,9,7,439,60.6,0,c539e393,12,2,803,81.7,0,Schalke 04,Augsburg
27,0,5,0.2,5.3,acbb6a5b,21,9,833,88.0,5,a224b06a,4,1,484,78.2,0,Mainz 05,RB Leipzig
27,2,2,1.5,0.8,b1278397,10,4,494,66.5,2,bc357bf7,14,5,680,76.6,2,Köln,Düsseldorf
28,0,1,0.8,0.8,054efa67,12,4,753,83.9,0,add600ae,13,4,790,85.0,0,Dortmund,Bayern Munich
28,0,0,0.8,0.4,32f3ee20,9,4,745,82.8,0,62add3bf,12,7,610,77.6,0,Werder Bremen,M'gladbach
28,3,3,4.9,1.0,a486e511,10,5,503,74.8,2,f0ac8ee6,34,16,733,82.8,1,Eint Frankfurt,Freiburg
28,1,4,1.1,2.3,4eaa11d7,15,9,455,70.4,3,c7a9f859,9,1,814,83.9,0,Leverkusen,Wolfsburg
28,2,2,0.8,1.5,2818f8bc,11,2,509,78.2,1,acbb6a5b,11,4,616,82.3,2,RB Leipzig,Hertha BSC
28,1,1,0.4,1.1,a224b06a,10,2,661,79.4,1,7a41008f,8,4,469,67.2,0,Union Berlin,Mainz 05
28,2,1,1.8,0.8,c539e393,8,3,447,64.2,1,b1278397,13,7,751,79.6,0,Düsseldorf,Schalke 04
28,3,1,1.4,2.2,bc357bf7,17,4,679,84.9,1,033ea6b8,7,6,550,84.2,3,Hoffenheim,Köln
28,0,0,0.7,1.7,d9f93f02,15,2,544,76.3,0,0cdc4311,12,3,614,75.8,0,Augsburg,Paderborn 07
29,0,1,0.9,0.6,c7a9f859,7,1,828,86.6,1,a486e511,8,2,454,71.0,0,Freiburg,Leverkusen
29,0,1,1.1,1.9,033ea6b8,10,5,637,78.3,1,a224b06a,17,2,629,77.6,0,Mainz 05,Hoffenheim
29,2,0,2.1,0.7,0cdc4311,8,2,569,72.0,0,2818f8bc,11,6,616,76.2,1,Hertha BSC,Augsburg
29,1,2,1.7,1.6,f0ac8ee6,6,2,508,66.6,1,4eaa11d7,18,4,566,70.7,1,Wolfsburg,Eint Frankfurt
29,0,1,0.7,0.5,62add3bf,6,2,663,76.1,1,c539e393,10,1,526,68.7,0,Schalke 04,Werder Bremen
29,5,0,2.9,0.9,b1278397,7,2,452,73.1,0,054efa67,21,8,829,86.8,3,Bayern Munich,Düsseldorf
29,4,1,2.2,1.0,7a41008f,12,5,562,77.0,1,32f3ee20,17,8,719,85.0,4,M'gladbach,Union Berlin
29,1,6,1.1,3.8,add600ae,16,10,837,89.1,5,d9f93f02,8,0,494,77.7,0,Paderborn 07,Dortmund
29,2,4,1.1,3.3,acbb6a5b,19,8,696,80.2,3,bc357bf7,7,5,615,77.6,0,Köln,RB Leipzig
24,0,3,0.6,1.6,f0ac8ee6,11,4,564,75.8,3,62add3bf,11,3,570,75.4,0,Werder Bremen,Eint Frankfurt
30,1,0,1.1,2.5,32f3ee20,19,3,781,82.2,0,a486e511,15,6,448,72.6,1,Freiburg,M'gladbach
30,2,4,1.0,2.6,054efa67,16,9,729,83.0,4,c7a9f859,10,6,686,81.4,2,Leverkusen,Bayern Munich
30,0,2,0.5,2.4,a224b06a,17,4,462,61.0,2,f0ac8ee6,11,0,725,76.7,0,Eint Frankfurt,Mainz 05
30,2,2,2.5,1.0,033ea6b8,8,3,464,73.5,1,b1278397,24,4,771,83.0,1,Düsseldorf,Hoffenheim
30,1,1,2.2,1.5,d9f93f02,16,5,600,77.0,0,acbb6a5b,12,4,630,76.6,1,RB Leipzig,Paderborn 07
30,1,0,1.8,0.4,2818f8bc,4,1,546,79.8,0,add600ae,13,3,896,89.3,1,Dortmund,Hertha BSC
30,0,1,0.8,1.8,4eaa11d7,17,3,598,75.1,1,62add3bf,11,2,646,75.7,0,Werder Bremen,Wolfsburg
30,1,1,1.7,0.2,c539e393,4,1,558,71.5,1,7a41008f,11,5,495,67.6,1,Union Berlin,Schalke 04
